# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  146       5.714765610854e-10       1.492036487037e-13      -6.164669897416e-12       0.000000000000e+00       3.606940118508e-12       6.281688383709e-13      -4.118748597921e-15 
  147       5.759920376280e-10       1.487740085677e-13      -6.182067809799e-12       0.000000000000e+00       3.537442550528e-12       6.191831618146e-13      -4.063720033838e-15 
  148       5.804872994390e-10       1.482816886329e-13      -6.196401481767e-12       0.000000000000e+00       3.469755663626e-12       6.103793722794e-13      -4.008686877131e-15 
  149       5.849608555992e-10       1.477276085731e-13      -6.207622924998e-12       0.000000000000e+00       3.403794026029e-12       6.017405121923e-13      -3.953368491980e-15 
  150       5.894111569670e-10       1.471127892115e-13      -6.215685529186e-12       0.000000000000e+00       3.339461690395e-12       5.932479911953e-13      -3.897466508411e-15 
  151       5.938365950570e-10       1.464383542905e-13      -6.220544101462e-12       0.000000000000e+00       3.276651975835e-12       5.848815534733e-13      -3.840664502743e-15 
  152       5.982355009179e-10       1.457055322419e-13      -6.222154905814e-12       0.000000000000e+00       3.215247249936e-12       5.766192450806e-13      -3.782627678043e-15 
  153       6.026062667718e-10       1.449156423590e-13      -6.220475945907e-12       0.000000000000e+00       3.155143250715e-12       5.684424704896e-13      -3.723084125602e-15 
  154       6.069477260113e-10       1.440700481424e-13      -6.215467760151e-12       0.000000000000e+00       3.096325054702e-12       5.603517597878e-13      -3.662077779842e-15 
  155       6.112588065443e-10       1.431702029729e-13      -6.207092776027e-12       0.000000000000e+00       3.038797786375e-12       5.523524113649e-13      -3.599738472493e-15 
  156       6.155384107143e-10       1.422176669957e-13      -6.195315113655e-12       0.000000000000e+00       2.982562620554e-12       5.444495276939e-13      -3.536202559556e-15 
  157       6.197854148051e-10       1.412141088111e-13      -6.180100626452e-12       0.000000000000e+00       2.927616689398e-12       5.366480085767e-13      -3.471613017242e-15 
  158       6.239986685434e-10       1.401613071648e-13      -6.161416941795e-12       0.000000000000e+00       2.873952989410e-12       5.289525443904e-13      -3.406119537910e-15 
  159       6.281769946029e-10       1.390611526390e-13      -6.139233501682e-12       0.000000000000e+00       2.821560288442e-12       5.213676093337e-13      -3.339878625999e-15 
  160       6.323191881077e-10       1.379156493421e-13      -6.113521603388e-12       0.000000000000e+00       2.770423032691e-12       5.138974546728e-13      -3.273053693970e-15 
  161       6.364240161360e-10       1.367269166000e-13      -6.084254440133e-12       0.000000000000e+00       2.720521253709e-12       5.065461019874e-13      -3.205815158238e-15 
  162       6.404902172235e-10       1.354971906459e-13      -6.051407141735e-12       0.000000000000e+00       2.671830475401e-12       4.993173364174e-13      -3.138340535113e-15 
  163       6.445165008669e-10       1.342288263114e-13      -6.014956815277e-12       0.000000000000e+00       2.624321621031e-12       4.922146999085e-13      -3.070814536735e-15 
  164       6.485015470278e-10       1.329242987168e-13      -5.974882585765e-12       0.000000000000e+00       2.577960920218e-12       4.852414844586e-13      -3.003429167010e-15 
  165       6.524440056359e-10       1.315862049616e-13      -5.931165636788e-12       0.000000000000e+00       2.532709815947e-12       4.784007253642e-13      -2.936383817548e-15 
  166       6.563424960929e-10       1.302172658151e-13      -5.883789251179e-12       0.000000000000e+00       2.488524871567e-12       4.716951944659e-13      -2.869885363598e-15 
